title,ingredients,directions,NER,link,dish type,estimated kcal,estimated servings,llm_est_servings,llm_reason_servings,est. kcal / serving,are servings estimated,tot carbo,tot sugars,tot fiber,tot protein,original_row,is_gluten_free,is_crustacean_free,is_egg_free,is_fish_free,is_peanut_free,is_soy_free,is_milk_free,is_tree_nut_free,is_celery_free,is_mustard_free,is_sesame_free,is_sulphite_free,is_lupin_free,is_mollusc_free,is_halal,is_kosher,is_vegan,is_vegetarian,is_mediterranean
Butterhorn Rolls,"['1 cake yeast (17.0 g)', '108.0 g sugar', '4.5 g salt', '247.2 g milk, lukewarm', '2 eggs, beaten (100.0 g)', '517.5 g flour, sifted', '109.3 g butter, melted (no substitutions)']","['Crumble yeast into a bowl; add sugar, salt, milk, and eggs.', 'Mix well; add half of flour and beat well.', 'Add melted butter and remainder of flour.', 'Knead until smooth, cover and let rise in a warm place until doubled.', 'Divide in half, roll each piece into a circle 1/4 inch thick.', 'Butter, if you like and cut each piece into 16 pie shaped pieces.', 'Roll each piece, beginning at the wide end towards the tip end, so that the tip is kept at an equal distance from each end of the roll.', 'Arrange shaped rolls on a well-greased baking sheet, placing the tip underneath the roll to prevent it from popping up and spoiling the shape of the roll.', 'Allow rolls to rise until doubled and bake at 375F for 12 to 15 minutes.', '*To make crescent rolls, curve rolls slightly.', '*To make butterleaf rolls, roll dough into a very think rectangular sheet, brush with melted butter; cut into strips 1 inch wide and pile 6 or 7 together. Cut into 1 1/2 inch pieces and place on end in greased muffin pans. Cover and let rise till doubled and bake as above.']","[""sugar"", ""cake yeast"", ""eggs"", ""flour"", ""milk"", ""butter"", ""salt""]",www.food.com/recipe/butterhorn-rolls-229610,side,4184.7,21.0,8.0,"Based on the ingredients provided, especially the amount of flour (517.5 g), it can be reasonably estimated that this recipe serves around 8 to 10 people.",199.3,True,632.2,252.0,15.1,131.5,1130790.0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Butterhorn Rolls,"['575.0 g flour', '14.0 g yeast (2 Tbsp.)', '240.0 g warm tap water', '26.6 g sugar', '3 eggs, beaten (150.0 g)', '109.2 g margarine or butter', '6.0 g salt', '108.0 g sugar', 'Crisco oil']","['Dissolve yeast and 2 tablespoons of sugar in warm tap water. Cream the butter with well beaten eggs.', 'Add yeast mixture, 1/2 cup of flour, salt and remaining 1/2 cup of sugar.', 'Beat until smooth.', 'Add rest of flour and mix by spoon.', 'Place in greased bowl and cover.', 'Set in refrigerator overnight.']","[""oil"", ""sugar"", ""eggs"", ""water"", ""flour"", ""margarine"", ""yeast"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=710055,side,4490.5,22.0,8.0,"estimated based on the substantial amount of ingredients and the overnight rising process, which is common for bread recipes yielding multiple servings.",204.1,True,568.6,145.2,16.4,140.9,774668.0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Butterhorn Rolls,"['3 eggs (150.0 g)', '108.0 g sugar', '7.0 g yeast', '240.0 g water', '112.5 g butter (1 stick)', '6.0 g salt', '575.0 g sifted flour']","['Combine sugar, yeast, salt and 1 cup flour in a large bowl. Heat water and butter to 128° to 130° with candy thermometer.', 'Add and slowly beat on low into flour mixture for 2 minutes.', 'Add eggs and 1 more cup of flour.', 'Again, beat slowly to mix, then medium speed for 2 minutes.', 'Take beaters out and add enough flour to make a soft dough.', 'Knead.', ""Watch you don't get too much flour in them. When dough doesn't stick to board, put into greased bowl and let rise to double in bulk."", 'Punch down.', 'Divide in 4 parts.', 'Roll 1/4-inch thick.', 'Using pastry brush, spread with melted butter. Cut in pie shaped angles and roll like you would for crescent rolls.', 'Start at wide area first.', 'Let rise.', 'Partially bake at 400° until begins to brown.', 'Cool.', 'Freeze on cookie sheet, then bag them.', 'When you want rolls, take out desired amount and finish baking them.']","[""sugar"", ""eggs"", ""water"", ""flour"", ""yeast"", ""butter"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=422928,side,4388.4,22.0,5.0,"Given the ingredients and the size of the dough, it seems like a single batch could reasonably serve 4 to 6 people",199.5,True,539.0,118.6,16.0,140.2,128473.0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Butterhorn Rolls,"['7.0 g yeast', '13.3 g sugar', '60.0 g lukewarm water', '108.0 g sugar', '102.0 g shortening, melted', '7.5 g salt', '3 slightly beaten eggs (150.0 g)', '517.5 g flour', '247.2 g milk, scalded']","['Combine yeast, 1 tablespoon sugar and lukewarm water.', 'Add sugar, shortening and salt to milk; cool.', 'Add beaten eggs and yeast mixture to milk. Add flour and mix well.', 'Put dough in greased bowl and brush with melted shortening.', 'Cover and chill in refrigerator.', 'Place dough on lightly floured board and roll into 8 inch circle.', 'Brush with melted shortening.', 'Cut in shapes of pie pieces.', 'Let rise until doubled.', 'Bake 12 to 15 minutes at 400°.']","[""sugar"", ""shortening"", ""eggs"", ""water"", ""flour"", ""yeast"", ""milk"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=259211,side,4393.1,22.0,6.0,"The recipe yields 6 to 8 servings, which aligns with the typical portion sizes for butterhorn rolls.",199.7,True,643.9,265.3,14.4,152.2,581181.0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Butterhorn Rolls,"['7.0 g yeast', '3 eggs (150.0 g)', '3.0 g salt', '690.0 g flour', '108.0 g sugar', '109.2 g oleo', '247.2 g warm milk']","['Preheat oven to 400°.', 'Dissolve yeast in 1 tablespoon g warm water.', 'Add other ingredients.', 'Knead down and let rise once.', 'Divide dough into 3 balls.', 'Roll round and thin as pie crust.', 'Spread with butter; cut as pie.', 'Roll each piece, starting from outer edge to point.', 'Place far enough apart on pan so as not to touch when they rise.', 'Let rise.', 'Bake 10 to 15 minutes at 400°.', 'Brush with butter when removed from oven.']","[""oleo"", ""sugar"", ""warm milk"", ""eggs"", ""flour"", ""yeast"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=904208,side,5100.8,26.0,6.0,directions suggest this kind of pan which is fitting for a 3 servings recipe,196.2,True,759.0,254.9,19.1,171.9,80590.0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Butterhorn Rolls,"['7.0 g dry yeast', '108.0 g sugar', '3 eggs (150.0 g)', '6.0 g salt', '240.0 g warm water', '460.0 g flour (self-rising)', '136.0 g shortening']","['Dissolve yeast in warm water, then add other ingredients.', 'Let set in refrigerator overnight.', 'Roll out or spoon into buttered roll pan or baking sheet.', 'Bake at 350° until golden brown.']","[""sugar"", ""shortening"", ""eggs"", ""water"", ""flour"", ""yeast"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=827181,side,4198.7,21.0,8.0,directions suggest this kind of pan which is fitting for a 3 servings recipe,199.9,True,453.4,116.6,12.9,126.1,136567.0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Butterhorn Rolls,"['7.0 g yeast', '108.0 g sugar', '102.0 g shortening', '6.0 g salt', '2 eggs, well beaten (100.0 g)', '460.0 g sifted flour', 'melted butter']","['Dissolve yeast in 3 tablespoons warm water.', 'Combine sugar, shortening, 1 cup warm water, salt and eggs in large bowl; mix well.', 'Add yeast and flour; beat until smooth.', 'Cover.', 'Refrigerate overnight.']","[""sugar"", ""shortening"", ""eggs"", ""flour"", ""yeast"", ""butter"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=895178,side,3826.6,19.0,2.0,"directions suggest overnight refrigeration which is common for making dough and then rolling out, typically serving 2 rolls per person",201.4,True,452.8,116.3,12.9,102.1,232505.0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Butterhorn Rolls,"['3 eggs, beaten (150.0 g)', '108.0 g sugar', '1 cake yeast (17.0 g)', '4.4 g sugar', '109.2 g shortening or margarine', '247.2 g warm milk', '575.0 g flour']","['Mix yeast and sugar together.', 'Mix eggs, sugar, yeast mixture and shortening together.', 'Knead with flour, adding milk gradually. Let rise about 1 hour.', 'Knead down again.', 'Roll out into a circle.', 'Cut in triangles from center to edge.', 'Roll up.', 'Place on pans and let rise 2 hours.', 'Bake at 400° until brown.', ""Check from time to time to see that bottoms aren't burning.""]","[""sugar"", ""cake yeast"", ""shortening"", ""warm milk"", ""eggs"", ""flour""]",www.cookbooks.com/Recipe-Details.aspx?id=585439,side,4565.2,23.0,8.0,directions suggest this kind of pan which is fitting for a 3 servings recipe,198.5,True,679.8,257.5,16.6,161.2,893807.0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Butterhorn Rolls,"['204.0 g shortening', '247.2 g milk', '7.0 g active dry yeast', '4.4 g white sugar', '120.0 g warm water (110 degrees F/45 degrees C)', '2 eggs (100.0 g)', '108.0 g white sugar', '12.0 g salt', '723.6 g all-purpose flour', '4.4 g baking powder', '109.3 g butter, softened']","['In a small saucepan, combine shortening and milk.', 'Heat until shortening is melted; set aside to cool.', 'Dissolve the yeast and 1 teaspoon sugar in the warm water.', 'In a large bowl, beat the eggs, 1/2 cup sugar, and salt together.', 'Add the milk mixture and yeast mixture to the egg mixture, stirring to blend.', 'Sift in the flour and baking powder, and mix well.', 'Cover, and refrigerate overnight.', 'Divide dough into fourths, and on a floured surface, roll out into 1/2 inch thick circles.', 'Spread surface with the soft butter.', ' Cut each circle like a pie into 8 triangles, and roll up from larger to small end.', 'Place rolls point side down on a baking sheet, and allow to rise until doubled, 3 to 4 hours.', 'Preheat oven to 400 degrees F (200 degrees C.)', 'Bake rolls for 8 to 10 minutes in the preheated oven, or until golden brown.']","[""warm water"", ""baking powder"", ""milk"", ""salt"", ""shortening"", ""eggs"", ""flour"", ""white sugar"", ""butter"", ""active dry yeast""]",www.allrecipes.com/recipe/9085/butterhorn-rolls/,side,5975.2,30.0,7.0,"Given the quantities of the main ingredients, it seems like this could serve around 6 to 8 people.",199.2,True,803.2,249.3,20.1,144.7,927406.0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Butterhorn Rolls,"['28.1 g yeast, softened in 1/4 c. water', '4.4 g sugar', '494.4 g warm milk', '6 beaten eggs (300.0 g)', '920.1 g flour', '145.6 g oleo', '6.0 g salt', '162.0 g sugar']","['Heat milk, then cool a little; add oleo, sugar and salt.', 'Add eggs and flour.', 'Stir and knead.', 'Raise until double.', 'Knead down again.', 'Divide into 4.', 'Roll out onto a 16-inch circle.', 'Cut into 12 to 16 pie shaped pieces.', 'Roll from the wide end to the point. Bake for 15 minutes at 350°.']","[""oleo"", ""sugar"", ""warm milk"", ""eggs"", ""flour"", ""yeast"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=525098,side,7192.5,36.0,4.0,"The recipe involves dividing the dough into 4 parts and rolling out into a circle, followed by cutting into 12 to 16 pieces. This division and cutting pattern suggests a portion size of around 3 to 4 pieces per roll, leading to an estimated 4 servings.",199.8,True,1129.0,452.8,26.7,294.7,501346.0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Butterhorn Rolls,"['247.2 g scalded milk', '102.0 g shortening', '108.0 g sugar', '6.0 g salt', '7.0 g cake yeast', '2 eggs, beaten (100.0 g)', '517.5 g flour']","['Combine the first 4 ingredients.', 'Add the remaining ingredients.', 'Mix well.', 'Flour a clean surface.', 'Pour batter on floured surface and a little flour at a time on batter.', 'Knead well; let rise double in bulk.', 'Oil or grease a pan.', 'Make into rolls; let rise double in bulk.', 'Bake at 350° for 10 or 15 minutes, until brown as you like.']","[""sugar"", ""cake yeast"", ""shortening"", ""eggs"", ""flour"", ""milk"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=784404,side,4270.1,21.0,12.0,"The recipe yields a single loaf of bread, which is commonly associated with 12-16 servings. This fits the typical serving size for a Butterhorn Roll recipe.",203.3,True,630.1,251.7,14.4,128.2,315441.0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
